PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA0510017,CCWD - COPPER COVE,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,2759,5187,RESIDENTIAL AREA              ,0,1.33,0,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0510019,CCWD - WALLACE,CALAVERAS,DISTRICT 10 - STOCKTON,COMMUNITY,108,255,RESIDENTIAL AREA              ,0,1,0.33,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,57,250,RESIDENTIAL AREA              ,0.5,1.33,1.42,1,1.06,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0600008,COLUSA CO. WWD #1 - GRIMES,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,114,512,RESIDENTIAL AREA              ,2,1.5,1.08,0.33,1.23,At-Risk,At-Risk,Failing,Failing,2,Y,N,Y,0
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,88,246,RESIDENTIAL AREA              ,0,1.33,0,1,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,Y,N,0
CA0600013,COLUSA CO. WWD #2 - PRINCETON,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,128,382,RESIDENTIAL AREA              ,0.5,0.33,0.67,0.67,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,56,185,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,1027,2778,OTHER AREA                    ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA0610002,CITY OF COLUSA,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,2276,6447,RESIDENTIAL AREA              ,0.5,0.33,0.33,0.67,0.46,--,Not At-Risk,Failing,Failing,5,Y,N,N,0
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,393,1175,OTHER AREA                    ,0,0.33,0.67,0.17,0.29,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0610004,CITY OF WILLIAMS,COLUSA,DISTRICT 21 - VALLEY,COMMUNITY,1562,5538,RESIDENTIAL AREA              ,0,0.33,0,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0706004,OAKLEY MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,50,170,RESIDENTIAL AREA              ,2,1.33,0,0.17,0.88,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0706005,FARRAR PARK PROPERTY OWNERS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,70,140,RESIDENTIAL AREA              ,2,1.33,0.33,0,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,NON-TRANSIENT NON-COMMUNITY,4,350,SCHOOL                        ,0,2.5,0.67,0,0.79,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0706029,EXCELSIOR MIDDLE SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,NON-TRANSIENT NON-COMMUNITY,2,600,SCHOOL                        ,0,2.5,0.67,0,0.79,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0707501,ANGLER S RANCH #3,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,32,60,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707507,WILLOW PARK MARINA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,166,380,RESIDENTIAL AREA              ,2.5,0.33,1,0.33,1.04,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA0707517,COLONIA SANTA MARIA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,10,32,RESIDENTIAL AREA              ,0,1.33,0,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707519,DUTCH SLOUGH WATER WORKS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,17,49,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707523,BETHEL ISLAND ESTATES,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,62,200,RESIDENTIAL AREA              ,0.5,1.5,0.33,1,0.83,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0707545,ORWOOD RESORT,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,11,350,RESIDENTIAL AREA              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,22,73,RESIDENTIAL AREA              ,0,1.33,0.33,0.33,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707553,RIVERVIEW MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,45,126,MOBILE HOME PARK              ,0.25,1.33,0,0.67,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707556,SANDMOUND MUTUAL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,110,100,RESIDENTIAL AREA              ,1.5,0.33,0.33,0.67,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0707569,ANGLERS SUBDIVISION 4,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,99,99,RESIDENTIAL AREA              ,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0707572,BETHEL ISLAND MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,43,123,RESIDENTIAL AREA              ,0.25,1.33,0.33,0,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707573,DELTA MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,119,333,RESIDENTIAL AREA              ,2,0.33,0.33,0,0.67,--,Potentially At-Risk,Failing,Failing,2,Y,N,N,0
CA0707575,BETHEL ISLAND MHC,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,65,185,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707576,PLEASANTIMES MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,195,644,RESIDENTIAL AREA              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0707577,RIVERVIEW WATER ASSOCIATION,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,89,230,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0707585,MORAGA HEIGHTS MUTUAL WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,20,66,RESIDENTIAL AREA              ,0,1.33,0,0.17,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707588,BIG OAK MOBILE HOME PARK WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,66,156,RESIDENTIAL AREA              ,1,0.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0707589,BELLA VISTA WATER SYS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,33,93,RESIDENTIAL AREA              ,2,1.33,0,0.67,1,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0707594,CASA MEDANOS WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,16,45,RESIDENTIAL AREA              ,0,1.33,0.67,0.17,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707597,SANDY POINT MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,24,67,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707598,CAMINO MOBILEHOME,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,75,210,MOBILE HOME PARK              ,0,1.33,0.67,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0707601,RUSSOS MOBILE PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,20,110,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,202,549,RESIDENTIAL AREA              ,0,1,0,0.83,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0707608,MARINA MOBILE MANOR,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,24,75,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707613,WILLOW MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,172,481,RESIDENTIAL AREA              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0707615,DOUBLETREE RANCH WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,20,132,RESIDENTIAL AREA              ,2,0.33,0,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0707620,CANYON SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,NON-TRANSIENT NON-COMMUNITY,1,238,SCHOOL                        ,2,1.5,0,0,0.88,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0707623,WILCOX STATION RANCH,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,COMMUNITY,19,31,RESIDENTIAL AREA              ,0.25,1.33,0,0,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,5073,23731,RESIDENTIAL AREA              ,0.75,0,0.67,0,0.36,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA0710004,BRENTWOOD,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,21441,64513,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,8,N/A,N,N,0
CA0710006,CITY OF MARTINEZ,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,10230,30997,RESIDENTIAL AREA              ,0.25,0,0,0,0.06,--,Not At-Risk,Non-Failing,Not At-Risk,3,N/A,N,N,0
CA0710007,DIABLO WATER DISTRICT,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,13617,43357,RESIDENTIAL AREA              ,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0
CA0710008,CITY OF PITTSBURG,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,19534,62500,RESIDENTIAL AREA              ,0.25,0,0.33,0.5,0.27,--,Not At-Risk,Non-Failing,Not At-Risk,3,N/A,N,N,0
CA0710009,TOWN OF DISCOVERY BAY,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,6163,16790,RESIDENTIAL AREA              ,0,0.33,0,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,6,Y,N,N,0
CA0800526,REDWOOD PARK C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,44,200,RESIDENTIAL AREA              ,2,0.33,1,0,0.83,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA0800532,BIG ROCK C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,116,650,RESIDENTIAL AREA              ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0800548,KLAMATH C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,63,360,SECONDARY RESIDENCES          ,0,0.33,0.33,0.67,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0800552,NORTHCREST TRAILER CITY,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,89,250,MOBILE HOME PARK              ,0.75,0.33,0.33,1,0.6,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0800555,GASQUET C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,201,657,RESIDENTIAL AREA              ,0.5,1.33,0.33,1,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0800556,HRC C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,69,185,RESIDENTIAL AREA              ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0800557,HUNTER VALLEY CSD,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,69,96,RESIDENTIAL AREA              ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0800603,BUTTE COURT MOBILE HOME PARK,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,23,65,MOBILE HOME PARK              ,0.5,1.5,0.67,2,1.17,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA0800605,WEST PARK PROPERTIES,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,42,112,MOBILE HOME PARK              ,0.75,1.33,0.67,1,0.94,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0800647,REDWOOD MAINT. & OPER.,DEL NORTE,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,1,421,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0800649,MARGARET KEATING MAIN. & OPER.,DEL NORTE,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,2,120,SCHOOL                        ,0,1.33,0.33,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0800700,LAS PALMAS MOBILE HOME PARK,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,60,120,MOBILE HOME PARK              ,0.75,0.33,0.67,0.67,0.61,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA0800800,PINE GROVE TRAILER PARK,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,51,100,MOBILE HOME PARK              ,1.5,1.5,0.33,1,1.08,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0800825,JED SMITH HOMEOWNERS ASSN.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,27,58,RESIDENTIAL AREA              ,1,0.33,0.75,0,0.52,--,Not At-Risk,Failing,Failing,3,Y,N,N,0
CA0810001,CITY OF CRESCENT CITY,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,3757,17170,RESIDENTIAL AREA              ,0,1.33,0,0.33,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0810002,SMITH RIVER C.S.D.,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,601,2568,RESIDENTIAL AREA              ,0,0.33,0,0.17,0.13,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA0810003,BERTSCH OCEAN VIEW CSD,DEL NORTE,DISTRICT 01 - KLAMATH,COMMUNITY,728,2609,OTHER AREA                    ,0,1,0.33,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0900102,GOLD BEACH PARK,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,48,134,MOBILE HOME PARK              ,3.25,1.5,0,0.67,1.36,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA0900111,PIONEER  ELEMENTARY SCHOOL,EL DORADO,LPA39 - EL DORADO COUNTY,NON-TRANSIENT NON-COMMUNITY,19,227,SCHOOL                        ,0,0.33,0.67,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,35,75,MOBILE HOME PARK              ,3,0.33,1.42,0,1.19,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA0900210,MILLERS HILL SCHOOL,EL DORADO,LPA39 - EL DORADO COUNTY,NON-TRANSIENT NON-COMMUNITY,9,120,SCHOOL                        ,1,0.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0900300,KYBURZ MUTUAL WATER COMPANY,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,111,150,RESIDENTIAL AREA              ,1,1,0,0.67,0.67,--,Potentially At-Risk,Failing,Failing,2,Y,N,N,0
CA0900304,SILVERFORK SCHOOL,EL DORADO,LPA39 - EL DORADO COUNTY,NON-TRANSIENT NON-COMMUNITY,1,25,SCHOOL                        ,0,3,0,0.67,0.92,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0900308,QUINTETTE SERVICE CORP WATER,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,51,80,RESIDENTIAL AREA              ,0,1.33,0.67,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0900309,MOUNTAIN CREEK SCHOOL,EL DORADO,LPA39 - EL DORADO COUNTY,NON-TRANSIENT NON-COMMUNITY,8,125,SCHOOL                        ,1,2,0.67,0.67,1.09,At-Risk,At-Risk,Non-Failing,At-Risk,3,Y,N,Y,0
CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,35,75,MOBILE HOME PARK              ,0,2,0.33,0.67,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0900410,LATROBE ELEMENTARY SCHOOL,EL DORADO,LPA39 - EL DORADO COUNTY,NON-TRANSIENT NON-COMMUNITY,8,65,SCHOOL                        ,0,1.5,0,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0900422,CRYSTAL CAVES MHP,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,40,112,MOBILE HOME PARK              ,0,2,0,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA0901217,BEAR STATE WATER WORKS,EL DORADO,LPA39 - EL DORADO COUNTY,COMMUNITY,57,100,RESIDENTIAL AREA              ,0,2,2,0.67,1.17,--,At-Risk,Non-Failing,At-Risk,3,Y,Y,N,0
CA0910003,"PLACERVILLE, CITY OF - MAIN",EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,3050,9224,RESIDENTIAL AREA              ,0,0,0.33,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,10,N/A,N,N,0
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,620,1374,RESIDENTIAL AREA              ,0,1.33,0,0.83,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0910007,LUKINS BROTHERS WATER COMPANY,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,993,3286,RESIDENTIAL AREA              ,0,0,1.08,0,0.27,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA0910012,TAHOE CITY PUD - RUBICON,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,625,703,RESIDENTIAL AREA              ,0,0.33,1.25,0,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0910013,GEORGETOWN DIVIDE PUD,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,3729,9434,RESIDENTIAL AREA              ,0,0.33,0,0,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA0910015,TAHOE KEYS WATER COMPANY,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,1566,1420,RESIDENTIAL AREA              ,2.5,0,0,0.33,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,5,N,N,N,0
CA0910017,EL DORADO ID - STRAWBERRY,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,149,400,RESIDENTIAL AREA              ,0,1.33,0,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0910018,EL DORADO ID - OUTINGDALE,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,191,535,RESIDENTIAL AREA              ,0,2.33,0.67,0.67,0.92,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA0910019,LAKESIDE PARK ASSOCIATION,EL DORADO,DISTRICT 09 - SACRAMENTO,COMMUNITY,142,2648,RESIDENTIAL AREA              ,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA1000004,BELMONT WATER CORPORATION,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,40,264,RESIDENTIAL AREA              ,2,0.67,0,0,0.67,--,Potentially At-Risk,Failing,Failing,2,N,N,N,0
CA1000005,BIG CREEK COMMUNITY SERV DIST,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,67,72,RESIDENTIAL AREA              ,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA1000018,EASTON ESTATES WATER COMPANY,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,108,302,RESIDENTIAL AREA              ,1.5,1,0.33,0.67,0.88,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA1000019,FCSA #30/EL PORVENIR,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,56,241,RESIDENTIAL AREA              ,1.5,2,2,0.33,1.46,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1000021,FCSA #05/WILDWOOD ISLAND,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,149,417,RESIDENTIAL AREA              ,0,1,0.75,0,0.44,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1000023,FCSA #14/BELMONT MANOR,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,41,115,RESIDENTIAL AREA              ,2,2.17,0,0.33,1.13,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1000039,FCSA #10/CUMORAH KNOLLS,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,47,132,RESIDENTIAL AREA              ,0,1,0,1,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1000040,FCWWD #37/MILE HIGH,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,46,129,RESIDENTIAL AREA              ,0.5,1,0.75,1,0.81,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA1000041,FCWWD #38/SKY HARBOUR,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,67,176,RESIDENTIAL AREA              ,0,1.5,0,0.83,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1000042,FCWWD #40 / SHAVER SPRINGS,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,70,196,RESIDENTIAL AREA              ,2.25,0.33,0,1,0.9,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA1000053,LANARE COMMUNITY SERVICES DIST,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,158,528,RESIDENTIAL AREA              ,0.5,1.67,0.33,0,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,107,375,RESIDENTIAL AREA              ,0.5,1.67,1,0,0.79,--,Potentially At-Risk,Failing,Failing,1,N,N,N,0
CA1000056,MEADOW LAKES CLUB,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,120,240,RESIDENTIAL AREA              ,0.5,2,0,0,0.63,At-Risk,At-Risk,Non-Failing,At-Risk,3,Y,N,Y,0
CA1000057,DEL ORO WATER CO - METROPOLITAN DISTRICT,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,28,92,RESIDENTIAL AREA              ,3,2,1.67,0,1.67,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1000063,NEW AUBERRY WATER ASSOCIATION,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,35,120,RESIDENTIAL AREA              ,0.5,0.33,0,0.67,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1000069,SHAVER LAKE HEIGHTS WATER ASSN,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,201,345,RESIDENTIAL AREA              ,0,0.5,0,0,0.13,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0
CA1000075,TRACT 1199 WATER SYSTEM,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,10,25,RESIDENTIAL AREA              ,0,3.67,0.33,0.33,1.08,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA1000078,FCWWD #42/ALLUVIAL & FANCHER,FRESNO,DISTRICT 23 - FRESNO,COMMUNITY,104,291,RESIDENTIAL AREA              ,1,1,0,0.67,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA1000104,CENTERVILLE SCHOOL,FRESNO,DISTRICT 23 - FRESNO,NON-TRANSIENT NON-COMMUNITY,11,489,SCHOOL                        ,2,2.17,0,0,1.04,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
